"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"7188469","25006462112006501000000000U3","ABARROTE LOS ABUELOS",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","MATEO ROCHA","AVENIDA","GENERAL FERNANDO CUEN","AVENIDA","GENERAL ERNESTO DAMY","CALLE","GUILLERMO NELSON","3979",,,,,,"COLONIA","PEMEX",,,,"80180","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","2335","023",,,,"Fijo","24.76467185","-107.42736433","2019-11"
"8243947","25001462112002901000000000U0","ABARROTE LOS CUATRO ANGELES",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","EJIDO MATACAHUI","ANDADOR","CAMAJOA","AVENIDA","LAZARO CARDENAS","ANDADOR","CAMAJOA","427",,,,"0",,"FRACCIONAMIENTO","INFONAVIT MOCHICAHUI",,,,"81257","25","SINALOA","001","Ahome","0001","Los Mochis","3163","016","6681998840",,,"Fijo","25.78580887","-108.97070424","2019-11"
"3794356","25001462112001881000000000U5","ABARROTE LUPITA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","EMILIANO ZAPATA","CALLE","TIERRA Y LIBERTAD","CALLE","CODIGO AGRARIO","CALLE","ARTÍCULO TERCERO","0","SN",,,"0",,"LOCALIDAD","SAN LORENZO NUEVO",,,,"81330","25","SINALOA","001","Ahome","0160","Higuera de Zaragoza","135A","012",,,,"Fijo","25.96879191","-109.31121979","2014-12"
"7204412","25001462112003101000000000U6","ABARROTE MIMI",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","JOSE MARIA COTA GARCIA","CALLE","GUADALUPE VICTORIA","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,"COLONIA","EL ALTO",,,,"81330","25","SINALOA","001","Ahome","0160","Higuera de Zaragoza","1148","078","6681365085",,,"Fijo","25.96891998","-109.29337206","2019-11"
"8557566","25015462112000801000000000U4","ABARROTE ORALIA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","FRANCISCO JAVIER MINA","CALLE","5 DE MAYO","CALLE","FERNANDO AMILPA","CALLEJON","CULIACÁN",,"SN",,,,,"COLONIA","CUAUHTEMOC",,,,"81490","25","SINALOA","015","Salvador Alvarado","0001","Guamúchil","0249","035",,,,"Fijo","25.4545995","-108.0847638","2019-11"
"3794142","25001461110023141010000000U3","ABARROTE PATRICIA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","CALLE DE LA IGLESIA","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","LA FLORIDA",,,,"81351","25","SINALOA","001","Ahome","0070","Ahome","1326","002",,,,"Fijo","25.93482579","-109.19073525","2014-12"
"8557516","25015462112000791000000000U7","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLEJON","CULIACAN","CALLE","PROFESOR GRACIANO SANCHEZ","CALLE","GENERAL LUCIO BLANCO","AVENIDA","IGNACIO ZARAGOZA",,"SN",,,,,"COLONIA","CUAUHTEMOC",,,,"81490","25","SINALOA","015","Salvador Alvarado","0001","Guamúchil","0249","043",,,,"Fijo","25.45346674","-108.08587439","2019-11"
"7204595","25001462112003141000000000U2","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","AVENIDA","INDEPENDENCIA",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","016","6681429822",,,"Fijo","25.76028299","-109.31701752","2019-11"
"9053089","25001462112002941000000000U6","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","SINALOA","CALLE","BENITO JUAREZ","CALLE","REFORMA",,"SN",,,,,"LOCALIDAD","EWL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","2964","019","6681013914",,,"Fijo","25.75438838","-109.31251302","2019-11"
"7204600","25001462112003161000000000U0","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","ESTERO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81350","25","SINALOA","001","Ahome","0119","El Colorado","295A","012","6681387430",,,"Fijo","25.76070844","-109.31438426","2019-11"
"7204653","25001462112003191000000000U7","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","AVENIDA","CONSTITUCION","AVENIDA","REVOLUCION","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","2964","013","6681842864",,,"Fijo","25.7548832","-109.31499645","2019-11"
"7204588","25001462112003131000000000U3","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","008",,,,"Fijo","25.76253417","-109.3152052","2019-11"
"7204598","25001462112003151000000000U1","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","MEXICO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","020",,,,"Fijo","25.7627011","-109.31557327","2019-11"
"7204652","25001462112003181000000000U8","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","REVOLUCION","CALLE","NINGUNO","CALLE","NINGUNO","AVENIDA","CONSTITUCIÓN",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","2964","013",,,,"Fijo","25.75483029","-109.31522155","2019-11"
"9053080","25001462112002921000000000U8","ABARROTE SIN NOMBRE",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","048","6681169617",,,"Fijo","25.7648158","-109.31729","2019-11"
"3795453","25001462112001951000000000U6","ABARROTE SUJANI",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","SANTA GUADALUPE","AVENIDA","MONACO","BOULEVARD","ALAMEDA","CALLE","SANTA YOLANDA","2763",,,,,,"COLONIA","SANTA ALICIA",,,,"81233","25","SINALOA","001","Ahome","0001","Los Mochis","2822","013",,,,"Fijo","25.79513832","-109.03055961","2014-12"
"3818987","25006462112004531000000000U2","ABARROTE URBINA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","MONTE ANETO","CALLE","CIMA DE LOS OLIVARES","CALLE","CIMA DE ILLIMANI","AVENIDA","MONTE ANCARES","5741",,,,,,"FRACCIONAMIENTO","ALTURAS DEL SUR",,,,"80295","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3155","013","6673083332",,,"Fijo","24.75892457","-107.35570097","2014-12"
"3794200","25001462112001642000000000U1","ABARROTES ARMENTA",,"462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","INDEPENDENCIA","CALLE","SOR JUANA INES DE LA CRUZ","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","AVENIDA","CONSTITUCIÓN",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","030","6682457007",,,"Fijo","25.75826181","-109.31564848","2014-12"
"8263033","25001462112002981000000000U2","ABARROTES AVILA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","BOULEVARD","MANUEL M. PONCE","AVENIDA","ROBERTO JORDAN","AVENIDA","MIGUEL C. CASTRO","BOULEVARD","MANUEL M. PONCE","1754",,"EDIFICIO SIN NOMBRE","PISO 1",,,"COLONIA","JOSE ANGEL ESPINOZA FERRUSQUILLA",,,,"81248","25","SINALOA","001","Ahome","0001","Los Mochis","3642","025","6681253268",,,"Fijo","25.83134417","-108.99057745","2019-11"
"7189446","25006462112006541000000000U9","ABARROTES BELEM",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","HIGUERAS","AVENIDA","OSLO","AVENIDA","ÁMSTERDAM","CALLE","ÁLAMOS","5212",,,,"0",,"FRACCIONAMIENTO","VINORAMAS",,,,"80184","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","4914","005",,,,"Fijo","24.74776319","-107.43491926","2019-11"
"3832453","25012462112002031000000000U3","ABARROTES CARMEN",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","20 DE NOVIEMBRE","CALLE","GENERAL LAZARO CARDENAS","CALLE","GENERAL FRANCISCO VILLA","CALLE","REFORMA",,"SN",,,,,"COLONIA","MARGARITA MAZA DE JUAREZ",,,,"82217","25","SINALOA","012","Mazatlán","0348","Villa Unión","0459","033","6692611963",,,"Fijo","23.18501613","-106.2157499","2014-12"
"8814928","25009462112000381000000000U0","ABARROTES CASTRO",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ABASOLO","CALLE","NINGUNO","CALLE","RIO SONORA","CALLE","NINGUNO","8",,,,"8",,"COLONIA","ALLENDE",,,,"82430","25","SINALOA","009","Escuinapa","0001","Escuinapa de Hidalgo","0684","019",,,,"Fijo","22.84557374","-105.77172873","2019-11"
"3795492","25001462112001771000000000U8","ABARROTES CINTHIA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","VIRREY FERNANDO DE ALENCASTRE","CALLE","VIRREY MIGUEL JOSE AZANZA","CALLE","VIRREY FELIX BERENGUER","CALLE","ZACATECAS","2169",,,,,,"FRACCIONAMIENTO","VIRREYES",,,,"81278","25","SINALOA","001","Ahome","0001","Los Mochis","3360","022","6688323424",,,"Fijo","25.78456055","-109.02991968","2014-12"
"3818963","25006462112004791000000000U2","ABARROTES DOÑA BLANCA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","CIMA DEL RASAC","AVENIDA","ALTURAS DEL SUR","CALLE","DOÑA RAFAELA LOPEZ DE LEY","CALLE","CIMA DEL MONT BLANC","3501",,,,,,"FRACCIONAMIENTO","ALTURAS DEL SUR",,,,"80280","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3155","028",,,,"Fijo","24.76344557","-107.3585232","2014-12"
"7373487","25009462112000411000000000U5","ABARROTES DOÑA MARIANA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ABASOLO","CALLE","NINGUNO","CALLE","RIO SONORA","CALLE","RÍO USUMACINTA","0","SN",,,"0",,"COLONIA","ALLENDE",,,,"82430","25","SINALOA","009","Escuinapa","0001","Escuinapa de Hidalgo","0684","019","6951028499",,,"Fijo","22.84709088","-105.7704078","2019-11"
"3774096","25001462112000371000000000U8","ABARROTES EL BETO",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","PASCUAL ALVAREZ","CALLE","LEANDRO VALLE","CALLE","LOS CORRALES","CALLE","ANTONIO FLORES","1812","A",,,"0",,"FRACCIONAMIENTO","ALAMOS COUNTRY",,,,"81271","25","SINALOA","001","Ahome","0001","Los Mochis","3286","011",,"JAMC_71@HOTMAIL.COM",,"Fijo","25.77943701","-109.02246627","2010-07"
"7359416","25014462112000251000000000U5","ABARROTES EL CHANGARRITO",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","LAZARO CARDENAS","CALLE","FRANCISCO MARQUEZ","CARRETERA","MEXICO 15","CALLE","VICENTE GUERRERO","0","SN",,,"0",,"COLONIA","LUIS DONALDO COLOSIO",,,,"82800","25","SINALOA","014","Rosario","0001","El Rosario","0523","004","6941010199",,,"Fijo","22.99864167","-105.85443595","2019-11"
"7928055","25009462112000361000000000U2","ABARROTES EL ROBLITO",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","7 DE ABRIL","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","7 DE ABRIL","0","SN",,,,,"COLONIA","EL ROBLITO",,,,"82430","25","SINALOA","009","Escuinapa","0001","Escuinapa de Hidalgo","0947","002",,,,"Fijo","22.85051456","-105.76746851","2019-11"
"8176189","25012462112003821000000000U6","ABARROTES EMILI",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","PROGRESO","CALLE","ALEXANDER GRAHAM BELL","CALLE","THOMAS ALVA EDISON","CALLE","ALBERTO EINSTEIN","10016",,,,,,"FRACCIONAMIENTO","VIVA PROGRESO",,,,"82139","25","SINALOA","012","Mazatlán","0001","Mazatlán","2807","012",,,,"Fijo","23.26890646","-106.37630329","2019-11"
"3792348","25001462112001831000000000U0","ABARROTES ERIKA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ENRIQUE MORA","CALLE","MANUEL M. PONCE","CALLE","LOLA BELTRAN","AVENIDA","ÁNGEL INFANTE","1813",,"EDIFICIO SIN NOMBRE","PISO 1","0",,"COLONIA","JOSE ANGEL ESPINOZA FERRUSQUILLA",,,,"81248","25","SINALOA","001","Ahome","0001","Los Mochis","3642","009",,,,"Fijo","25.83331451","-108.98999242","2014-12"
"3800709","25011311830002111010000000U5","ABARROTES FABIAN",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","DIEGO GUZMAN","CALLE","PABLO MACIAS","CALLE","RAFAEL BUELNA","AVENIDA","ÁLVAR NÚÑEZ CABEZA DE VACA","0","SN",,,"0",,"AMPLIACION","ADOLFO RUIZ CORTINES",,,,"81121","25","SINALOA","011","Guasave","0035","Adolfo Ruiz Cortines","1163","014",,,,"Fijo","25.69910802","-108.72395122","2014-12"
"9053088","25001462112002931000000000U7","ABARROTES GAEL",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","017","6681016876",,,"Fijo","25.76076236","-109.31655351","2019-11"
"7372939","25006462112006321000000000U6","ABARROTES HACIENDA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","BOULEVARD","ANTONIO CASTRO LEAL","AVENIDA","HACIENDA","BOULEVARD","BOULEVARD DE LAS AMERICAS","AVENIDA","HACIENDA","1092",,,,"0",,"FRACCIONAMIENTO","VILLA RESIDELCIAL HACIENDA",,,,"80015","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","184A","005",,,,"Fijo","24.83752055","-107.38431399","2019-11"
"7189447","25006462112006551000000000U8","ABARROTES LIZETH",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","VARSOVIA","CALLE","MEZQUITES","AVENIDA","VINORAMAS","AVENIDA","LORNA","5991",,,,"0",,"FRACCIONAMIENTO","VINORAMAS",,,,"80184","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","4914","007",,,,"Fijo","24.74772884","-107.43302869","2019-11"
"3809698","25006462112005101000000000U3","ABARROTES LOS CIRUELOS",,"462112","Comercio al por menor en minisupers","0 a 5 personas","BOULEVARD","CLEMENTE VIZCARRA","CALLE","VALLE LOS CIRUELOS","CALLE","VALLE MELON","CALLE","VALLE LIMÓN","2474",,,,,,"FRACCIONAMIENTO","VALLE ALTO",,,,"80050","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","7393","004","6672160028",,,"Fijo","24.80149802","-107.47030051","2014-12"
"8490915","25001462112003231000000000U1","ABARROTES LOS PRIMOS",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","MEXICO","CALLE","SOR JUANA INES DE LA CRUZ","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","295A","028",,,,"Fijo","25.75844459","-109.31490415","2019-11"
"3794302","25001462112001711000000000U4","ABARROTES MARIA ISABEL",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","CALLE DEL NARANJO","CALLE","JOSE MARIA COTA GARCIA","CALLE","10 DE MAYO","CALLE","NINGUNO",,"SN",,,,,"COLONIA","BUENAVISTA",,,,"81330","25","SINALOA","001","Ahome","0160","Higuera de Zaragoza","1148","027",,,,"Fijo","25.97070868","-109.29812715","2014-12"
"3786753","25006311830001951010000000U5","ABARROTES MARIEL",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","FELIPE ANGELES","AVENIDA","FRANCISCO ROQUE SERRANO","AVENIDA","GENERAL FERNANDO CUEN","CALLE","JOSÉ MARÍA LEYVA","3101",,,,,,"COLONIA","FERROCARRILERA",,,,"80180","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","2335","029","6674629901",,,"Fijo","24.76342349","-107.42737337","2010-07"
"7359593","25014462112000261000000000U4","ABARROTES MARITZA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","JESUS HERRERA","AVENIDA","AVENIDA DE LOS DEPORTES","CALLE","ROXANA","CALLE","LUPITA",,"SN",,,,,"COLONIA","VALLE NUEVO",,,,"82808","25","SINALOA","014","Rosario","0001","El Rosario","074A","021","6941171596",,,"Fijo","22.99711917","-105.86839766","2019-11"
"3826386","25012462112002131000000000U1","ABARROTES MINI SÚPER DELIA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","ZAQUEO","CALLE","SAN PEDRO","CALLE","SERGIO","AVENIDA","SAN MIGUEL","18301",,,,,,"FRACCIONAMIENTO","PRADERA DORADA",,,,"82139","25","SINALOA","012","Mazatlán","0001","Mazatlán","3792","005",,,,"Fijo","23.27538129","-106.37120221","2014-12"
"3826430","25012462112002301000000000U0","ABARROTES MINI YUCA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","PRIVADA","YUCA","PRIVADA","PRIVADA YUCA","AVENIDA","LAS TORRES","CIRCUITO","MEZQUITAL","101","B",,,"0",,"FRACCIONAMIENTO","LOS MAGUEYES",,,,"82199","25","SINALOA","012","Mazatlán","0001","Mazatlán","2722","038",,,,"Fijo","23.26180993","-106.36507177","2014-12"
"3798101","25001462112001721000000000U3","ABARROTES MR LUCAS",,"462112","Comercio al por menor en minisupers","0 a 5 personas","PRIVADA","AMERICA","AVENIDA","JOSE GUILLERMO BLAKE","AVENIDA","INGENIERO JESUS GARCIA SANTACRUZ","AVENIDA","JOSÉ GUILLERMO BLAKE","2978",,,,,,"FRACCIONAMIENTO","NUEVO SIGLO",,,,"81290","25","SINALOA","001","Ahome","0001","Los Mochis","3248","013","6681430807",,,"Fijo","25.75158433","-108.99544771","2014-12"
"3770561","25001461110000181010000000U6","ABARROTES NEREYDA",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","MEXICO","CALLE","NINGUNO","CALLE","REFORMA","CALLE","SINALOA",,"SN",,,,,"LOCALIDAD","EL COLORADO",,,,"81351","25","SINALOA","001","Ahome","0119","El Colorado","2964","007","6681248004",,,"Fijo","25.75486735","-109.31379817","2010-07"
"3783503","25001462112000431000000000U0","ABARROTES OSMAR",,"462112","Comercio al por menor en minisupers","0 a 5 personas","AVENIDA","MONACO","CALLE","LISBOA","CALLE","MADRID","AVENIDA","MÚNICH","2764",,,,,,"FRACCIONAMIENTO","CEDROS",,,,"81230","25","SINALOA","001","Ahome","0001","Los Mochis","2822","001",,,,"Fijo","25.79580938","-109.02967697","2012-06"
"9055060","25018462112000461000000000U1","ABARROTES PILY",,"462112","Comercio al por menor en minisupers","0 a 5 personas","CALLE","COMANDANTE FRANCISCO MIRANDA","AVENIDA","LICENCIADO BENITO JUAREZ","CALLE","NINGUNO","CALLE","JUAQUÍN SÁNCHEZ RAMÁN","81",,,,"0",,"LOCALIDAD","SAN PEDRO",,,,"80376","25","SINALOA","018","Navolato","0355","San Pedro","0908","002",,,,"Fijo","24.77469241","-107.55738032","2019-11"
